Canape;Baroque;Noir;./ressources/images/canapes/baroque_1.png
Canape;Baroque;Violet;./ressources/images/canapes/baroque_2.png
Canape;Baroque;Rouge;./ressources/images/canapes/baroque_3.png
Canape;Baroque;Vert;./ressources/images/canapes/baroque_4.png
Canape;Baroque;Bleu;./ressources/images/canapes/baroque_5.png
Canape;Baroque;Camel;./ressources/images/canapes/baroque_6.png
Canape;Classique;Marron;./ressources/images/canapes/classique_1.png
Canape;Classique;Bleu;./ressources/images/canapes/classique_2.png
Canape;Classique;Rose;./ressources/images/canapes/classique_3.png
Canape;Classique;Bordeaux;./ressources/images/canapes/classique_4.png
Canape;Classique;Vert;./ressources/images/canapes/classique_5.png
Canape;Classique;Noir;./ressources/images/canapes/classique_6.png
Canape;Design;Gris;./ressources/images/canapes/design_1.png
Canape;Design;Vert;./ressources/images/canapes/design_2.png
Canape;Design;Rose;./ressources/images/canapes/design_3.png
Canape;Design;Bleu;./ressources/images/canapes/design_4.png
Canape;Design;Bordeaux;./ressources/images/canapes/design_5.png
Canape;Design;Noir;./ressources/images/canapes/design_6.png
Lit;Baroque;Blanc;./ressources/images/lits/baroque_1.png
Lit;Baroque;Rouge;./ressources/images/lits/baroque_2.png
Lit;Baroque;Bleu;./ressources/images/lits/baroque_3.png
Lit;Baroque;Orange;./ressources/images/lits/baroque_4.png
Lit;Baroque;Vert;./ressources/images/lits/baroque_5.png
Lit;Baroque;Violet;./ressources/images/lits/baroque_6.png
Lit;Classique;Orange;./ressources/images/lits/classique_1.png
Lit;Classique;Rose;./ressources/images/lits/classique_2.png
Lit;Classique;Bleu;./ressources/images/lits/classique_3.png
Lit;Classique;Vert;./ressources/images/lits/classique_4.png
Lit;Classique;Rouge;./ressources/images/lits/classique_5.png
Lit;Classique;Gris;./ressources/images/lits/classique_6.png
Lit;Design;Rouge;./ressources/images/lits/design_1.png
Lit;Design;Gris;./ressources/images/lits/design_2.png
Lit;Design;Bleu;./ressources/images/lits/design_3.png
Lit;Design;Violet;./ressources/images/lits/design_4.png
Lit;Design;Vert;./ressources/images/lits/design_5.png
Lit;Design;Orange;./ressources/images/lits/design_6.png
Table;Baroque;Bois;./ressources/images/tables/baroque_1.png
Table;Baroque;Vert;./ressources/images/tables/baroque_2.png
Table;Baroque;Rouge;./ressources/images/tables/baroque_3.png
Table;Baroque;Bois;./ressources/images/tables/baroque_4.png
Table;Baroque;Bleu;./ressources/images/tables/baroque_5.png
Table;Baroque;Jaune;./ressources/images/tables/baroque_6.png
Table;Classique;Beige;./ressources/images/tables/classique_1.png
Table;Classique;Bleu;./ressources/images/tables/classique_2.png
Table;Classique;Rose;./ressources/images/tables/classique_3.png
Table;Classique;Bois;./ressources/images/tables/classique_4.png
Table;Classique;Vert;./ressources/images/tables/classique_5.png
Table;Classique;Violet;./ressources/images/tables/classique_6.png
Table;Design;Blanc;./ressources/images/tables/design_1.png
Table;Design;Gris;./ressources/images/tables/design_2.png
Table;Design;Noir;./ressources/images/tables/design_3.png
Table;Design;Gris;./ressources/images/tables/design_4.png
Table;Design;Noir;./ressources/images/tables/design_5.png
Table;Design;Gris;./ressources/images/tables/design_6.png
